RUC|NOMBRE_DE_ENTIDAD|DEPARTAMENTO|PROVINCIA|DISTRITO|CODIGO_SIAF|CODCONSUCODE|ESTADO|ULTIMAACTUALIZACION
20290898685|ACADEMIA DE LA MAGISTRATURA|LIMA|LIMA|JESUS MARIA|0014|1940|Activo|17/07/13
20556939781|AGENCIA DE COMPRAS DE LAS FUERZAS ARMADAS|LIMA|LIMA|JESUS MARIA|1545|201143|Activo|31/12/19
20380799643|AGENCIA DE PROMOCION DE LA INVERSION PRIVADA - PROINVERSION|LIMA|LIMA|SAN ISIDRO|1231|10001|Activo|25/09/15
20504915523|AGENCIA PERUANA DE COOPERACION INTERNACIONAL|LIMA|LIMA|LIMA|1089|200021|Activo|17/07/13
20514859559|AGROMERCADO|LIMA|LIMA|LINCE|1257|200189|Activo|22/04/25
20508320150|APOYO PARA MEJORAR LA OFERTA PRODUCTIVA Y FACILITAR EL COMERCIO EXTERIOR|LIMA|LIMA|LIMA||200113|Activo|17/07/13
20131370726|ARCHIVO GENERAL DE LA NACION|LIMA|LIMA|LIMA|0016|1941|Activo|26/12/15
20131372265|ASAMBLEA NACIONAL DE RECTORES|LIMA|LIMA|SANTIAGO DE SURCO|0116|1885|Activo|17/07/13
20522773451|AUTORIDAD AUTONOMA DEL SISTEMA ELECTRICO DE TRASPORTE MASIVO DE LIMA Y CALLAO - AATE|LIMA|LIMA|SAN BORJA|1338|10232|Activo|17/07/13
20604932964|AUTORIDAD DE TRANSPORTE URBANO PARA LIMA Y CALLAO|LIMA|LIMA|MIRAFLORES|1717|204448|Activo|23/08/19
20298619602|AUTORIDAD DEL PROYECTO COSTA VERDE|LIMA|LIMA|JESUS MARIA|500263|200163|Activo|20/04/21
20508353759|AUTORIDAD MUNICIPAL DE LOS PANTANOS DE VILLA - PROHVILLA|LIMA|LIMA|CHORRILLOS|500249|200178|Activo|18/03/20
20614445751|AUTORIDAD NACIONAL AUTÓNOMA DEL TERMINAL PORTUARIO DE CHANCAY|LIMA|LIMA|LIMA|1781|205853|Activo|27/03/26
20610813578|AUTORIDAD NACIONAL DE CONTROL DEL MINISTERIO PÚBLICO|LIMA|LIMA|LIMA|1745|205250|Activo|04/01/24
20611816953|AUTORIDAD NACIONAL DE INFRAESTRUCTURA|LIMA|LIMA|MIRAFLORES|1750|205210|Activo|15/12/23
20565429656|AUTORIDAD NACIONAL DE SANIDAD E INOCUIDAD EN PESCA Y ACUICULTURA|LIMA|LIMA|LINCE|1588|201345|Activo|26/11/25
20520711865|AUTORIDAD NACIONAL DEL AGUA|LIMA|LIMA|SAN ISIDRO|1299|200266|Activo|17/07/13
20477906461|AUTORIDAD NACIONAL DEL SERVICIO CIVIL|LIMA|LIMA|JESUS MARIA|1314|200257|Activo|17/07/13
20602114091|AUTORIDAD PARA LA RECONSTRUCCION CON CAMBIOS|LIMA|LIMA|LIMA|1677|203727|Activo|19/10/18
20504565794|BANCO AGROPECUARIO|LIMA|LIMA|SAN ISIDRO||200027|Activo|06/03/18
20122476309|BANCO CENTRAL DE RESERVA DEL PERÚ|LIMA|LIMA|LIMA||1926|Activo|17/07/13
20100030595|BANCO DE LA NACION|LIMA|LIMA|SAN ISIDRO||2525|Activo|17/07/13
20100054699|BANCO DE LA VIVIENDA DEL PERU EN LIQUIDACION|LIMA|LIMA|LINCE||200106|Activo|17/07/13
20100178584|BANCO DE MATERIALES EN LIQUIDACION|LIMA|LIMA|LIMA||2438|Activo|24/06/16
20131379863|BIBLIOTECA NACIONAL DEL PERU|LIMA|LIMA|SAN BORJA|0085|1942|Activo|17/07/13
